####################################
## Reproduction of "Fog-Assisted Caching..." paper ##
## Case A: Power Consumption with Brown Powered CDCs and FDCs
## Version 7 ##
## Data ##
## Kamal Gamir-Shahin ##
## 26/04/2021 ##
####################################

set N := 1 2 3 4 5 6 7 8 9 10 11 12 13 14; 	# N, set of nodes in NSFNET network
set T := 0 2 4 6 8 10 12 14 16 18 20 22; 	# Set of times (hours) in the day
set WR := 40 100 400 1000; 					# Set of Wavelength Rates (in Gbps)
set CDC := 2 3 7 8 9; 						# Set of Cloud Data Centres (which nodes they are located)

# Set of node physical connections (m,n)
set Nm[1] :=2 3 4; # Node 1, is connected to nodes 2, 3 and 4
set Nm[2] :=1 3 8;
set Nm[3] :=1 2 6;
set Nm[4] :=1 5 11;
set Nm[5] :=4 6 7;
set Nm[6] :=3 5 10 13;
set Nm[7] := 5 8;
set Nm[8] := 2 7 9;
set Nm[9] :=8 10 12 14;
set Nm[10] :=6 9;
set Nm[11] :=4 12 14;
set Nm[12] :=9 11 13;
set Nm[13] :=6 12 14;
set Nm[14] :=9 11 13;

param SS := 2;	# The duration between consecutive hours in T
param W := 32; 	# Number of wavelengths in a fibre
param DA := 80;	# Span between two neighbouring EDFAs

param Rr := 	# Reach of regenerators at a wavelength rate r
#	WR		Rr
	40 		2500
	100 	1200
	400 	400
	1000	350
;
param PRr := 	# Power consumption of a router port at wavelength rate r
#	WR		PRr
	40 		178.2
	100 	309.3
	400 	367.8
	1000	425.1			
;
param PTr := 	# Power consumption of a transponder at wavelength rate r
#	WR		PTr
	40 		35.7
	100 	110.9
	400 	428
	1000	1032.6		
;

param Br := 	# Line rate at wavelength rate r
#	WR		Br
	40 		40
	100 	100
	400 	400
	1000	1000
;

param PGr := 	# Power consumption of a regenerator at wavelength rate r
#	WR		PTr
	40 		71.4
	100 	221.8
	400 	857.4
	1000	2065.2		
;

param PRm = 178.2;	# Power consumption of an aggregation router port (178.2, 309.3, 367.8 425.1)
param Bm = 40; 		# Line rate of an aggregation port in Gbps
param POm = 85; 	# Power consumption of an optical switch at core mode m
param PE = 15.3;	# Power consumption of an optical switch at core mode m
param PS = 50;		# Power consumption of a metro Ethernet switch port at a rate of 40 Gbps
param Pcs = 211.1;	# Power consumption of a content centre per Gbps
param Cs = 1.8; 	# Capacity of a content server in Gbps 


param PUEc = 1.1; 	# Power Usage Effectiveness of Cloud Data Centres
param PUEf = 1.2;	# Power Usage Effectiveness of Fog Data Centres
param PUEn = 1.5; 	# Power Usage Effectiveness of Core, metro and access networking equipment

param Zcdc = 1.3; 	# Ratio to account for networking equipment power consumption in CDCs
param Zfdc = 1.3; 	# Ratio to account for networking equipment power consumption in FDCs

param Polt = 904; 	# Power consmuption of an OLT (Optical Line Terminal)
param Colt = 160;	# Total capacity of links between OLT and metro network
param Cfdc = 160; 	# Total capacity of links between OLT and fog data centre

# Solar Energy Properties
param SSC = 50; 		# Size of solar cell (in m^2) (50, 150, 250)
param Emax = 100000; 	# Battery maximum capacity (in Wh)
param Alpha = 0.7225; 	# Charging efficiency during S(Alpha)
param Beta = 0.9025; 	# Charging efficiency during S(Beta)

param Dmn: # The physical distance between connected nodes m and n (in km)
		1		2		3		4		5		6		7		8		9		10		11		12		13		14	:=
1		0		1100	600		1000	0		0		0		0		0		0		0		0		0		0
2		1100	0		1600	0		0		0		0		2800	0		0		0		0		0		0
3		600		1600	0		0		0		2000	0		0		0		0		0		0		0		0	
4		1000	0		0		0		600		0		0		0		0		0		2400	0		0		0	
5		0		0		0		600		0		1100	800		0		0		0		0		0		0		0
6		0		0		2000	0		1100	0		0		0		0		1200	0		0		2000	0
7		0		0		0		0		800		0		0		700		0		0		0		0		0		0
8		0		2800	0		0		0		0		700		0		700		0		0		0		0		0
9		0		0		0		0		0		0		0		700		0		900		0		500		0		500
10		0		0		0		0		0		1200	0		0		900		0		0		0		0		0
11		0		0		0		2400	0		0		0		0		0		0		0		800		0		800
12		0		0		0		0		0		0		0		0		500		0		800		0		300		0
